CT,REG,COM,Nom,HApoly,Surfacesbois,Surfacescult,Alp,Airbat,Airind,P00BMTOT,P00BWTOT,Pop020,Pop2040,Pop4065,Pop65P,H00PTOT,H00P01,H00P02,H00P03,H00P04,POPTOT
1,4,261,Zurich,8781,2326,967,0,2884,260,175836,187437,57324,131422,108178,66349,186880,94797,55019,17596,19468,363273
25,1,6621,Geneve,1593,67,31,0,773,60,83449,94515,32429,60074,57063,28398,86231,44373,22145,9761,9952,177964
12,3,2701,Basel,2391,97,93,0,1023,213,78736,87822,28161,50349,53734,34314,86371,44469,24838,7890,9174,166558
2,2,351,Bern,5162,1726,1041,0,1070,212,59727,68907,19399,44263,39397,25575,67115,34981,20222,5859,6053,128634
22,1,5586,Lausanne,4136,1635,714,0,856,64,58621,66293,24291,44202,35421,21000,62258,31205,17122,6515,7416,124914
1,4,230,Winterthur,6787,2807,1827,0,972,238,43788,46695,18942,28958,27696,14887,41362,16346,13454,4804,6758,90483
17,5,3203,St.Gallen,3940,1139,1222,0,812,134,34987,37639,14337,24309,21334,12646,34934,16166,10434,3594,4740,72626
3,6,1061,Luzern,1581,408,183,0,524,27,27324,32172,9533,18843,18177,12943,30586,15452,9280,2777,3077,59496
2,2,371,Biel (BE),2123,976,196,18,463,108,23447,25208,9127,14825,15140,9563,24043,11014,7588,2507,2934,48655
2,2,942,Thun,2158,425,694,0,523,137,19071,21306,8128,11265,13301,7683,18700,7177,6637,2092,2794,40377
2,2,355,Koniz,5099,1567,2621,0,515,53,17952,19830,7861,10452,12892,6577,17240,6657,5857,1976,2750,37782
24,2,6421,La Chaux-de-Fonds,5566,1572,2221,867,467,56,17535,19481,8319,10551,11258,6888,17207,7087,5293,2053,2774,37016
10,2,2196,Fribourg,930,164,138,0,301,40,16980,18567,6862,13231,10142,5312,15839,7342,4411,1901,2185,35547
14,5,2939,Schaffhausen,3102,1467,643,0,467,115,16026,17602,6957,9343,10940,6388,15078,6037,4876,1734,2431,33628
18,5,3901,Chur,2809,1456,477,49,354,82,15683,17306,6883,10287,10581,5238,15333,6488,4779,1823,2243,32989
24,2,6458,Neuchatel,1810,998,197,7,323,26,15542,17372,6356,11204,9576,5778,15937,7348,4763,1817,2009,32914
25,1,6643,Vernier,765,98,121,0,240,58,14436,15123,7519,8926,9493,3621,12211,4296,3390,1960,2565,29559
1,4,198,Uster,2851,770,1270,0,376,48,14082,14489,6341,9001,9564,3665,12356,4500,3957,1640,2259,28571
23,1,6266,Sion,2562,277,1149,0,315,126,12944,14227,6732,7998,8492,3949,11326,4114,3306,1675,2231,27171
3,6,1024,Emmen,2033,370,948,0,296,116,13315,13570,6621,7924,8608,3732,11165,3720,3558,1483,2404,26885
21,7,5192,Lugano,1170,673,22,11,304,3,11953,14607,4337,7846,8554,5823,13420,6567,3668,1710,1475,26560
25,1,6628,Lancy,477,47,39,0,207,58,12346,13342,5797,7681,8429,3781,11205,4092,3477,1635,2001,25688
3,6,1059,Kriens,2734,1381,808,56,241,61,11954,12788,5656,7082,8108,3896,10830,3760,3659,1358,2053,24742
22,1,5938,Yverdon-les-Bains,1127,86,400,0,278,74,11662,12714,5796,7279,7126,4175,10835,4201,3324,1373,1937,24376
9,6,1711,Zug,2161,825,731,38,277,45,11447,11526,4343,7093,7667,3870,10470,4345,3409,1221,1495,22973
22,1,5886,Montreux,3340,1641,377,515,351,15,10482,11972,4790,6615,6931,4118,9823,4198,3048,1113,1464,22454
1,4,191,Dubendorf,1362,264,511,0,330,20,10986,11230,4241,7531,7485,2959,10613,4288,3623,1240,1462,22216
20,5,4566,Frauenfeld,2740,678,1246,0,365,96,10729,11225,5088,6671,6976,3219,9569,3604,2924,1192,1849,21954
1,4,243,Dietikon,938,254,160,0,190,78,10630,10723,4549,6828,6990,2986,9707,3702,3189,1199,1617,21353
12,3,2703,Riehen,1086,276,283,0,302,2,9467,10903,4039,4191,7097,5043,9201,3248,3438,1070,1445,20370
25,1,6630,Meyrin,996,66,392,0,232,77,9656,9892,4424,5800,7121,2203,7938,2662,2391,1304,1581,19548
1,4,142,Wadenswil,1742,168,1029,0,278,31,9466,9998,4274,5808,6682,2700,8622,3150,2834,1114,1524,19464
9,6,1701,Baar,2485,609,1366,0,234,67,9793,9614,4323,6496,6307,2281,8609,3724,2401,955,1529,19407
22,1,5591,Renens (VD),296,9,13,0,117,40,9123,9283,4116,6224,5696,2370,8196,3213,2410,1149,1424,18406
13,3,2773,Reinach (BL),700,118,201,0,221,29,8911,9412,3554,4835,6849,3085,8271,2708,3146,1074,1343,18323
13,3,2762,Allschwil,892,242,273,0,189,42,8714,9417,3284,4875,6506,3466,8751,3440,3169,998,1144,18131
